"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 09, 2020","203.72","200.35","209.43","191.31","293.86K","1.68%"
"Mar 08, 2020","200.35","238.11","238.19","197.00","273.87K","-15.89%"
"Mar 07, 2020","238.21","246.24","252.99","237.18","99.31K","-3.20%"
"Mar 06, 2020","246.09","229.36","246.10","228.27","83.03K","7.28%"
"Mar 05, 2020","229.40","225.27","235.18","225.27","70.89K","1.91%"
"Mar 04, 2020","225.10","224.66","229.42","221.36","68.43K","0.34%"
"Mar 03, 2020","224.33","232.81","233.64","220.87","69.68K","-3.52%"
"Mar 02, 2020","232.52","218.53","235.18","216.73","88.65K","6.39%"
"Mar 01, 2020","218.56","218.27","228.71","213.15","113.80K","0.05%"
"Feb 29, 2020","218.45","228.43","233.50","218.22","69.96K","-4.37%"
"Feb 28, 2020","228.43","227.61","234.92","214.24","126.97K","0.40%"
"Feb 27, 2020","227.52","224.14","238.00","210.79","192.39K","1.53%"
"Feb 26, 2020","224.10","247.00","250.66","216.41","348.56K","-9.32%"
"Feb 25, 2020","247.13","265.74","266.33","245.29","147.03K","-7.08%"
"Feb 24, 2020","265.97","275.73","278.19","256.85","155.45K","-3.54%"
"Feb 23, 2020","275.72","261.68","276.20","261.49","86.18K","5.18%"
"Feb 22, 2020","262.14","265.50","266.68","256.60","44.42K","-1.24%"
"Feb 21, 2020","265.43","257.67","268.29","254.68","92.52K","2.94%"
"Feb 20, 2020","257.84","258.20","263.84","245.54","158.34K","-0.43%"
"Feb 19, 2020","258.95","283.01","287.00","251.41","156.05K","-8.50%"
"Feb 18, 2020","283.00","268.16","286.24","259.76","171.89K","5.59%"
"Feb 17, 2020","268.02","258.88","268.29","243.13","200.75K","3.17%"
"Feb 16, 2020","259.78","264.84","273.63","238.44","230.80K","-1.94%"
"Feb 15, 2020","264.93","284.98","287.32","264.00","197.55K","-7.03%"
"Feb 14, 2020","284.97","268.30","286.44","260.24","130.12K","6.13%"
"Feb 13, 2020","268.51","265.55","276.02","255.96","166.14K","1.27%"
"Feb 12, 2020","265.14","237.06","273.70","237.06","247.43K","11.76%"
"Feb 11, 2020","237.24","223.14","239.00","218.25","66.80K","6.32%"
"Feb 10, 2020","223.14","228.23","229.21","216.68","89.64K","-2.23%"
"Feb 09, 2020","228.23","222.64","230.00","222.55","70.86K","2.49%"
"Feb 08, 2020","222.69","223.11","227.58","213.09","92.55K","-0.19%"
"Feb 07, 2020","223.11","212.60","223.90","212.60","131.05K","4.95%"
"Feb 06, 2020","212.59","203.79","216.00","201.02","97.27K","4.32%"
"Feb 05, 2020","203.79","189.06","207.86","188.29","112.61K","7.79%"
"Feb 04, 2020","189.06","190.19","191.76","184.89","32.83K","-0.71%"
"Feb 03, 2020","190.41","188.85","195.67","187.01","52.55K","0.91%"
"Feb 02, 2020","188.69","184.00","193.95","179.66","73.81K","2.51%"
"Feb 01, 2020","184.07","180.27","184.46","179.67","62.12K","2.22%"
"Jan 31, 2020","180.08","184.52","185.50","175.23","40.93K","-2.46%"
"Jan 30, 2020","184.62","173.68","186.74","171.09","86.59K","6.22%"
"Jan 29, 2020","173.81","176.08","178.78","173.38","31.18K","-1.29%"
"Jan 28, 2020","176.09","170.14","176.64","170.14","49.55K","3.50%"
"Jan 27, 2020","170.14","168.20","172.06","165.45","64.45K","1.18%"
"Jan 26, 2020","168.16","160.32","168.27","159.56","62.74K","4.79%"
"Jan 25, 2020","160.47","162.69","162.73","157.82","14.48K","-1.38%"
"Jan 24, 2020","162.71","162.73","164.42","155.76","30.79K","-0.13%"
"Jan 23, 2020","162.92","167.70","167.70","159.21","37.90K","-2.85%"
"Jan 22, 2020","167.70","169.33","171.18","165.67","18.11K","-0.97%"
"Jan 21, 2020","169.33","166.87","169.99","164.96","27.03K","1.48%"
"Jan 20, 2020","166.86","166.73","169.00","161.09","33.65K","0.01%"
"Jan 19, 2020","166.84","173.58","177.55","161.21","84.55K","-3.88%"
"Jan 18, 2020","173.58","169.18","178.97","165.00","90.53K","2.52%"
"Jan 17, 2020","169.32","164.01","174.00","161.98","104.12K","3.23%"
"Jan 16, 2020","164.03","166.15","167.11","158.46","66.63K","-1.22%"
"Jan 15, 2020","166.05","164.73","171.00","159.00","132.50K","0.65%"
"Jan 14, 2020","164.98","143.52","169.78","143.49","213.40K","14.93%"
"Jan 13, 2020","143.55","146.40","146.94","142.24","25.54K","-1.91%"
"Jan 12, 2020","146.35","142.41","146.35","141.71","22.58K","2.72%"
"Jan 11, 2020","142.48","144.59","147.74","142.04","36.47K","-1.45%"
"Jan 10, 2020","144.57","137.57","144.95","135.36","41.79K","4.91%"
"Jan 09, 2020","137.81","140.59","141.32","135.43","29.44K","-1.91%"
"Jan 08, 2020","140.50","142.95","147.73","137.30","65.44K","-1.81%"
"Jan 07, 2020","143.09","144.23","144.97","139.06","49.51K","-0.76%"
"Jan 06, 2020","144.18","135.54","144.27","135.09","66.63K","6.33%"
"Jan 05, 2020","135.60","134.49","138.44","134.42","46.00K","0.83%"
"Jan 04, 2020","134.49","134.89","136.26","133.12","23.57K","-0.19%"
"Jan 03, 2020","134.74","127.56","135.57","126.39","76.51K","5.63%"
"Jan 02, 2020","127.56","130.94","130.94","126.84","46.99K","-2.58%"
"Jan 01, 2020","130.94","129.45","133.24","128.90","37.25K","1.15%"
"Dec 31, 2019","129.45","131.83","133.94","128.31","36.60K","-1.81%"
"Dec 30, 2019","131.83","134.86","136.58","130.56","34.88K","-2.27%"
"Dec 29, 2019","134.90","128.49","138.52","128.03","49.06K","5.00%"
"Dec 28, 2019","128.48","126.92","130.23","126.69","19.07K","1.23%"
"Dec 27, 2019","126.92","126.15","127.46","123.03","44.86K","0.61%"
"Dec 26, 2019","126.15","125.39","132.85","124.61","36.87K","0.67%"
"Dec 25, 2019","125.32","127.96","128.11","123.80","32.24K","-2.13%"
"Dec 24, 2019","128.04","128.19","129.90","127.24","12.07K","-0.07%"
"Dec 23, 2019","128.13","132.96","135.54","126.52","58.50K","-3.49%"
"Dec 22, 2019","132.77","127.50","133.61","127.40","24.46K","4.13%"
"Dec 21, 2019","127.50","128.90","129.01","127.12","7.04K","-1.08%"
"Dec 20, 2019","128.90","128.68","129.97","126.43","17.16K","0.17%"
"Dec 19, 2019","128.68","133.50","134.74","126.51","34.43K","-3.61%"
"Dec 18, 2019","133.50","122.81","134.99","116.98","113.44K","8.70%"
"Dec 17, 2019","122.81","133.34","133.47","120.54","102.12K","-7.90%"
"Dec 16, 2019","133.34","143.11","143.39","130.31","64.16K","-6.82%"
"Dec 15, 2019","143.11","142.56","144.60","140.57","16.72K","0.38%"
"Dec 14, 2019","142.56","145.38","145.74","141.56","19.72K","-1.94%"
"Dec 13, 2019","145.38","145.51","145.81","143.78","16.72K","-0.09%"
"Dec 12, 2019","145.51","143.91","146.53","140.01","47.19K","1.11%"
"Dec 11, 2019","143.91","146.36","146.94","142.65","18.88K","-1.67%"
"Dec 10, 2019","146.36","148.08","148.80","144.61","27.58K","-1.16%"
"Dec 09, 2019","148.08","151.41","152.04","147.25","29.73K","-2.20%"
"Dec 08, 2019","151.41","148.15","152.62","147.00","27.66K","2.20%"
"Dec 07, 2019","148.15","149.69","150.55","147.69","10.91K","-1.03%"
"Dec 06, 2019","149.69","148.73","150.64","146.60","17.63K","0.65%"
"Dec 05, 2019","148.73","146.30","149.79","144.65","23.83K","1.71%"
"Dec 04, 2019","146.23","148.17","154.11","144.18","73.27K","-1.31%"
"Dec 03, 2019","148.17","149.63","150.96","146.52","23.51K","-1.02%"
"Dec 02, 2019","149.69","151.84","152.33","147.66","24.72K","-1.42%"
"Dec 01, 2019","151.84","152.43","153.35","146.78","33.58K","-0.46%"
"Nov 30, 2019","152.54","155.60","156.63","150.59","26.39K","-1.92%"
"Nov 29, 2019","155.53","151.52","158.66","151.09","36.98K","2.65%"
"Nov 28, 2019","151.52","153.27","155.36","150.11","31.37K","-1.19%"
"Nov 27, 2019","153.34","148.31","156.23","142.00","67.03K","3.39%"
"Nov 26, 2019","148.31","146.58","150.86","144.57","32.60K","1.04%"
"Nov 25, 2019","146.78","141.17","152.69","133.58","144.43K","3.97%"
"Nov 24, 2019","141.18","152.77","153.66","140.00","64.46K","-7.59%"
"Nov 23, 2019","152.77","150.56","155.00","147.26","59.10K","1.47%"
"Nov 22, 2019","150.56","162.05","163.40","138.79","131.28K","-7.12%"
"Nov 21, 2019","162.11","175.27","176.38","157.79","77.17K","-7.51%"
"Nov 20, 2019","175.27","176.46","178.18","173.96","20.41K","-0.67%"
"Nov 19, 2019","176.46","178.61","178.96","173.39","24.58K","-1.17%"
"Nov 18, 2019","178.55","184.48","184.97","175.50","40.77K","-3.24%"
"Nov 17, 2019","184.53","183.05","186.89","181.00","19.99K","0.85%"
"Nov 16, 2019","182.97","180.23","183.98","179.50","16.34K","1.50%"
"Nov 15, 2019","180.27","185.00","187.41","177.47","70.35K","-2.56%"
"Nov 14, 2019","185.00","188.84","189.22","183.43","19.91K","-1.96%"
"Nov 13, 2019","188.69","187.34","189.99","185.50","23.72K","0.72%"
"Nov 12, 2019","187.34","184.93","187.56","182.64","26.38K","1.18%"
"Nov 11, 2019","185.15","189.68","190.89","184.20","29.56K","-2.39%"
"Nov 10, 2019","189.68","184.99","192.17","183.50","58.27K","2.54%"
"Nov 09, 2019","184.99","183.59","185.62","182.80","17.19K","0.54%"
"Nov 08, 2019","184.00","186.65","188.30","181.01","45.81K","-1.43%"
