"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 05, 2019","176.93","176.29","177.49","172.61","39.65K","0.42%"
"Oct 04, 2019","176.19","175.36","179.82","171.49","38.25K","0.47%"
"Oct 03, 2019","175.37","181.24","181.66","170.18","56.87K","-3.24%"
"Oct 02, 2019","181.24","176.41","182.10","174.32","40.10K","2.74%"
"Oct 01, 2019","176.41","182.27","186.43","174.15","94.81K","-2.90%"
"Sep 30, 2019","181.68","169.91","182.50","165.66","108.77K","6.97%"
"Sep 29, 2019","169.84","174.41","175.10","164.85","72.46K","-2.62%"
"Sep 28, 2019","174.41","174.61","176.20","169.20","55.90K","-0.11%"
"Sep 27, 2019","174.61","166.77","177.73","162.02","75.67K","4.81%"
"Sep 26, 2019","166.60","170.67","171.33","153.75","114.52K","-2.38%"
"Sep 25, 2019","170.67","166.54","175.42","162.82","115.22K","2.25%"
"Sep 24, 2019","166.91","200.79","202.73","155.00","347.56K","-16.87%"
"Sep 23, 2019","200.79","211.26","212.21","199.03","73.98K","-5.09%"
"Sep 22, 2019","211.55","215.56","216.00","206.50","66.86K","-1.86%"
"Sep 21, 2019","215.56","218.68","221.90","213.97","41.73K","-1.45%"
"Sep 20, 2019","218.73","221.35","222.69","212.50","56.83K","-1.24%"
"Sep 19, 2019","221.47","210.90","224.73","202.46","145.40K","5.01%"
"Sep 18, 2019","210.90","208.41","217.99","208.41","100.21K","1.09%"
"Sep 17, 2019","208.62","198.29","215.82","196.60","109.35K","5.21%"
"Sep 16, 2019","198.29","189.63","200.71","189.13","109.16K","4.56%"
"Sep 15, 2019","189.64","189.05","191.37","186.45","35.68K","0.32%"
"Sep 14, 2019","189.03","181.89","189.76","180.44","65.17K","4.06%"
"Sep 13, 2019","181.65","181.35","182.20","178.00","32.91K","0.13%"
"Sep 12, 2019","181.41","178.55","183.09","177.01","31.57K","1.60%"
"Sep 11, 2019","178.55","180.25","182.73","174.71","49.97K","-0.94%"
"Sep 10, 2019","180.24","180.80","184.50","176.93","40.10K","-0.28%"
"Sep 09, 2019","180.75","181.96","186.52","176.54","66.89K","-0.66%"
"Sep 08, 2019","181.96","178.33","184.90","177.22","65.32K","1.99%"
"Sep 07, 2019","178.41","169.35","181.34","168.60","62.21K","5.35%"
"Sep 06, 2019","169.35","174.04","178.45","165.40","62.43K","-2.69%"
"Sep 05, 2019","174.03","175.10","175.92","169.68","59.84K","-0.61%"
"Sep 04, 2019","175.10","179.44","180.74","173.97","47.08K","-2.39%"
"Sep 03, 2019","179.39","178.70","183.00","175.22","79.43K","0.39%"
"Sep 02, 2019","178.70","171.63","181.65","170.55","56.79K","4.35%"
"Sep 01, 2019","171.25","172.06","173.99","168.33","42.37K","-0.51%"
"Aug 31, 2019","172.13","168.74","175.29","166.13","42.06K","2.08%"
"Aug 30, 2019","168.63","169.42","170.80","166.17","30.66K","-0.31%"
"Aug 29, 2019","169.15","173.08","173.69","164.19","60.98K","-2.34%"
"Aug 28, 2019","173.21","187.30","188.47","166.54","111.69K","-7.52%"
"Aug 27, 2019","187.29","188.73","189.24","184.94","25.07K","-0.76%"
"Aug 26, 2019","188.73","186.37","194.14","186.22","48.89K","1.30%"
"Aug 25, 2019","186.31","191.08","192.89","183.06","47.90K","-2.48%"
"Aug 24, 2019","191.04","194.77","194.78","186.37","38.60K","-1.92%"
"Aug 23, 2019","194.78","190.70","196.61","188.61","38.02K","2.14%"
"Aug 22, 2019","190.69","187.66","195.35","183.25","53.84K","1.62%"
"Aug 21, 2019","187.66","196.98","197.50","180.00","89.84K","-4.58%"
"Aug 20, 2019","196.67","202.68","203.26","195.05","46.53K","-2.96%"
"Aug 19, 2019","202.66","194.90","203.90","193.09","63.06K","3.98%"
"Aug 18, 2019","194.90","185.95","198.31","183.53","50.22K","4.89%"
"Aug 17, 2019","185.82","185.71","187.32","182.33","30.18K","0.11%"
"Aug 16, 2019","185.61","188.35","188.57","178.78","56.22K","-1.58%"
"Aug 15, 2019","188.59","187.28","189.94","174.31","102.83K","0.70%"
"Aug 14, 2019","187.28","209.25","210.08","183.13","112.92K","-10.50%"
"Aug 13, 2019","209.25","211.61","211.92","205.25","44.88K","-1.11%"
"Aug 12, 2019","211.61","217.02","217.11","210.17","46.39K","-2.58%"
"Aug 11, 2019","217.21","206.48","217.21","206.24","56.74K","5.15%"
"Aug 10, 2019","206.57","210.80","214.90","201.68","51.01K","-2.01%"
"Aug 09, 2019","210.80","222.04","222.42","207.38","85.06K","-5.06%"
"Aug 08, 2019","222.04","226.35","227.28","216.58","67.15K","-1.90%"
"Aug 07, 2019","226.35","226.02","230.86","221.65","59.06K","0.15%"
"Aug 06, 2019","226.02","233.62","239.52","223.33","119.31K","-3.25%"
"Aug 05, 2019","233.62","222.51","236.26","222.42","153.89K","4.99%"
"Aug 04, 2019","222.51","222.00","223.65","217.86","33.81K","0.23%"
"Aug 03, 2019","222.00","217.62","224.53","216.67","45.82K","2.01%"
"Aug 02, 2019","217.62","217.56","222.61","215.06","52.23K","0.03%"
"Aug 01, 2019","217.56","218.76","219.49","212.00","44.97K","-0.52%"
"Jul 31, 2019","218.70","209.74","219.21","209.71","58.74K","4.27%"
"Jul 30, 2019","209.74","210.81","214.44","205.71","47.18K","-0.51%"
"Jul 29, 2019","210.81","210.81","215.00","206.22","42.63K","0.00%"
"Jul 28, 2019","210.81","207.07","213.17","197.84","67.03K","1.82%"
"Jul 27, 2019","207.05","219.06","223.61","202.71","111.69K","-5.48%"
"Jul 26, 2019","219.06","219.44","220.41","213.01","52.54K","-0.17%"
"Jul 25, 2019","219.44","216.76","224.96","215.84","75.29K","1.24%"
"Jul 24, 2019","216.76","212.30","218.35","201.28","129.48K","2.06%"
"Jul 23, 2019","212.38","217.28","219.35","208.58","87.76K","-2.30%"
"Jul 22, 2019","217.38","225.41","227.80","211.84","90.24K","-3.40%"
"Jul 21, 2019","225.04","228.21","229.49","217.68","83.55K","-1.49%"
"Jul 20, 2019","228.44","221.15","235.23","220.59","87.78K","3.29%"
"Jul 19, 2019","221.16","225.82","226.18","214.43","80.00K","-1.98%"
"Jul 18, 2019","225.63","211.08","229.00","205.64","168.90K","6.89%"
"Jul 17, 2019","211.08","198.69","219.40","192.03","208.20K","6.30%"
"Jul 16, 2019","198.57","227.39","233.65","192.57","315.83K","-12.80%"
"Jul 15, 2019","227.71","226.19","234.76","203.70","290.97K","0.59%"
"Jul 14, 2019","226.38","268.12","268.59","223.60","216.78K","-15.55%"
"Jul 13, 2019","268.07","274.73","274.97","260.92","58.08K","-2.42%"
"Jul 12, 2019","274.73","268.38","277.89","266.51","42.05K","2.37%"
"Jul 11, 2019","268.38","288.72","288.72","261.76","147.80K","-7.04%"
"Jul 10, 2019","288.71","307.76","314.59","281.35","145.87K","-6.22%"
"Jul 09, 2019","307.86","313.39","318.00","302.70","95.20K","-1.76%"
"Jul 08, 2019","313.39","306.59","315.21","302.54","114.32K","2.23%"
"Jul 07, 2019","306.54","288.60","311.00","284.87","109.04K","6.21%"
"Jul 06, 2019","288.61","287.77","298.43","286.28","69.75K","0.23%"
"Jul 05, 2019","287.95","282.95","295.28","281.30","53.84K","1.68%"
"Jul 04, 2019","283.20","302.21","303.43","280.51","80.62K","-6.29%"
"Jul 03, 2019","302.22","292.71","303.37","289.78","120.18K","3.37%"
"Jul 02, 2019","292.37","295.45","298.18","273.22","148.13K","-1.06%"
"Jul 01, 2019","295.50","290.83","302.18","281.19","136.70K","2.02%"
"Jun 30, 2019","289.65","319.49","324.35","287.42","156.16K","-8.83%"
"Jun 29, 2019","317.71","308.87","324.45","292.41","130.20K","2.79%"
"Jun 28, 2019","309.08","294.86","311.97","291.41","193.67K","5.06%"
"Jun 27, 2019","294.19","332.00","340.47","276.51","430.36K","-11.39%"
"Jun 26, 2019","332.00","316.36","362.90","313.13","576.92K","4.90%"
"Jun 25, 2019","316.49","312.32","317.23","305.79","125.69K","1.54%"
"Jun 24, 2019","311.70","308.56","314.56","294.00","290.63K","0.98%"
"Jun 23, 2019","308.68","311.26","321.97","306.53","208.83K","-0.82%"
"Jun 22, 2019","311.24","296.01","315.67","293.79","292.68K","5.18%"
"Jun 21, 2019","295.90","272.82","297.59","272.82","238.20K","8.46%"
"Jun 20, 2019","272.82","269.49","274.82","267.18","64.66K","1.22%"
"Jun 19, 2019","269.52","264.93","270.72","264.16","53.47K","1.71%"
"Jun 18, 2019","264.98","274.45","274.65","261.32","107.15K","-3.45%"
"Jun 17, 2019","274.45","268.63","276.04","267.61","68.67K","2.08%"
"Jun 16, 2019","268.86","269.12","279.31","264.28","181.77K","-0.10%"
"Jun 15, 2019","269.12","263.72","273.10","261.76","107.73K","2.06%"
"Jun 14, 2019","263.69","254.54","265.69","250.99","230.77K","3.62%"
"Jun 13, 2019","254.47","262.90","264.65","253.46","117.81K","-3.35%"
"Jun 12, 2019","263.30","245.10","263.32","243.05","180.06K","7.43%"
"Jun 11, 2019","245.10","248.11","248.88","237.75","78.37K","-1.07%"
"Jun 10, 2019","247.75","231.26","248.37","227.52","111.09K","7.03%"
"Jun 09, 2019","231.48","244.41","244.92","226.62","96.55K","-5.27%"
"Jun 08, 2019","244.36","249.69","251.07","241.85","35.73K","-2.13%"
"Jun 07, 2019","249.69","249.93","253.91","245.17","86.99K","-0.16%"
"Jun 06, 2019","250.10","245.88","251.66","236.00","64.27K","1.56%"
"Jun 05, 2019","246.25","241.44","249.56","238.12","70.11K","1.99%"
"Jun 04, 2019","241.44","248.93","251.45","235.38","207.86K","-3.14%"
"Jun 03, 2019","249.26","269.40","269.78","247.00","163.98K","-7.48%"
"Jun 02, 2019","269.40","264.37","273.70","263.50","73.36K","1.90%"
"Jun 01, 2019","264.37","267.13","273.59","260.85","107.24K","-1.09%"
"May 31, 2019","267.28","253.58","268.46","245.57","206.74K","5.10%"
"May 30, 2019","254.31","270.23","289.14","240.98","446.13K","-5.87%"
"May 29, 2019","270.17","272.07","275.00","262.69","118.86K","-0.72%"
"May 28, 2019","272.12","272.98","276.87","265.00","119.65K","-0.17%"
"May 27, 2019","272.57","268.39","280.46","264.47","196.09K","1.52%"
"May 26, 2019","268.50","250.96","273.50","245.90","200.46K","7.04%"
"May 25, 2019","250.83","249.57","258.00","248.01","99.41K","0.60%"
"May 24, 2019","249.34","245.54","255.33","242.88","98.28K","1.59%"
"May 23, 2019","245.43","243.50","247.87","230.46","145.11K","0.86%"
"May 22, 2019","243.34","254.34","261.01","240.39","155.98K","-4.32%"
"May 21, 2019","254.34","252.15","263.40","247.69","124.29K","0.87%"
"May 20, 2019","252.15","259.90","260.08","239.44","192.30K","-2.98%"
"May 19, 2019","259.90","233.63","264.06","231.83","205.97K","11.03%"
